"","UMAP_1","UMAP_2"
"cell0_1",2.31573626761888,1.36989367801249
"cell1_1",3.99811538121548,2.38927253635199
"cell2_1",3.50649944351754,1.97645132606821
"cell3_1",3.85941903748664,2.76910513259392
"cell4_1",-12.0199420970843,-2.6501283219379
"cell5_1",-0.294315214150823,4.30715439328653
"cell6_1",-1.98225175182785,0.532272623379513
"cell7_1",0.315135935343005,4.20457199901305
"cell8_1",3.58042189721064,2.88242204583659
"cell9_1",0.181745403881157,1.68279745647481
"cell10_1",-0.188862997386429,0.64125451069175
"cell11_1",1.61372461776785,3.17568271250459
"cell12_1",-0.207064120351408,3.66117661786412
"cell13_1",0.156574316887045,2.1485958083307
"cell14_1",1.36411995111755,-0.622589724577275
"cell15_1",3.80468919349544,-1.40429795943568
"cell16_1",1.32318525547622,3.57769023947491
"cell17_1",-12.763279208608,-1.56304910807259
"cell18_1",3.23302261657028,-0.156632482422909
"cell19_1",4.39173455706069,-1.90136708496142
"cell20_1",3.13239794781473,1.32762612544554
"cell21_1",-11.7307927815963,-1.37308551445547
"cell22_1",1.48537992993853,-4.21873025937276
"cell23_1",4.07482653842984,1.58592513070255
"cell24_1",0.58613002906346,3.52957041865648
"cell25_1",4.21770898497369,0.440362686006723
"cell26_1",4.44595298901864,-0.876667082347282
"cell27_1",2.18700613570851,1.41340832454061
"cell28_1",-0.514835298494736,0.933438962339142
"cell29_1",0.226504396610402,4.20105670164181
"cell30_1",0.591061354151632,0.729185530014663
"cell31_1",1.44749335534071,2.59662721250712
"cell32_1",2.06439578070238,2.94982067458338
"cell33_1",3.04129314971034,0.44546165940344
"cell34_1",3.21599690169247,2.61475557464336
"cell35_1",3.71384172935005,-1.38408217628796
"cell36_1",-1.34226398747367,-5.57564416815813
"cell37_1",2.55123523935092,-1.22772766959569
"cell38_1",1.01370490376966,1.14657566452534
"cell39_1",4.77207235899392,-3.28900652135074
"cell40_1",-12.3016305880061,-3.07223590704741
"cell41_1",-0.511699113589462,-4.98172375652413
"cell42_1",-12.6333826721394,-3.68909445725042
"cell43_1",2.16770124632643,-3.79842339213618
"cell44_1",4.06159098065066,2.32004172089559
"cell45_1",3.99222114739938,-3.6743959944141
"cell46_1",-0.826585920212691,4.23980893478874
"cell47_1",-13.628293484239,-2.36298605231894
"cell48_1",1.74093041151472,-1.37942232546784
"cell49_1",-0.118231197513642,3.58174586307536
"cell50_1",-12.7287480337429,-2.7449792372708
"cell51_1",0.447198560738411,4.97131386020183
"cell52_1",4.23588690288918,0.381044483011738
"cell53_1",2.42631967008231,1.99101884078091
"cell54_1",0.378811847875762,2.35298468391527
"cell55_1",1.62098909269725,2.45643437690247
"cell56_1",-13.027108631282,-2.93098683301808
"cell57_1",1.52091115338696,-2.88633980148847
"cell58_1",1.4275039068162,4.24483701778266
"cell59_1",0.373069560165355,1.10585530017336
"cell60_1",0.692541765518415,0.0523492840290068
"cell61_1",-12.2985572235386,-1.23784759946859
"cell62_1",3.91512443788598,0.0701116796732967
"cell63_1",3.38043766550273,-2.20330098071303
"cell64_1",2.7459737274366,-3.35233990366677
"cell65_1",1.7751278085387,4.48628540643169
"cell66_1",3.61708593562897,1.1589281384646
"cell67_1",0.529102806653003,-2.88556136295032
"cell68_1",-0.417922619156155,1.38592329990985
"cell69_1",1.94980573325488,-3.39824796301195
"cell70_1",3.18188757997883,-1.89521288640534
"cell71_1",3.39713698621927,2.19673376438815
"cell72_1",1.57923500087403,-0.712322039627336
"cell73_1",4.33325754573183,-1.28714323722099
"cell74_1",1.76126896634849,-3.48280155190365
"cell75_1",0.34273325910875,1.36490899869656
"cell76_1",1.30612955668111,0.74925049856474
"cell77_1",2.06855867445241,3.12500436678935
"cell78_1",4.67965260647124,-1.16019658116808
"cell79_1",-0.746495278909336,5.24691471744062
"cell80_1",-0.105628886630235,0.746104615682325
"cell81_1",3.11031605235998,0.705479262128568
"cell82_1",4.35286542951103,-0.184052541192384
"cell83_1",-12.6253205225178,-3.6578296435849
"cell84_1",1.32540968735292,5.2481907559438
"cell85_1",-12.6177520929002,-2.06844135349101
"cell86_1",-12.6145064959519,-0.846475257363534
"cell87_1",0.230330045337899,-2.0494500062855
"cell88_1",3.83199504916324,1.47175841187807
"cell89_1",0.988252799018579,-2.25134105299174
"cell90_1",1.83070106808065,-4.22857726693091
"cell91_1",0.386715737686707,-1.94189564298537
"cell92_1",4.59184321496737,-3.31933298879482
"cell93_1",-12.0905144817075,-2.44675174367691
"cell94_1",-12.188843899185,-1.3274633237122
"cell95_1",3.65579651164947,1.97320323735887
"cell96_1",3.77030893734586,2.32183064039253
"cell97_1",-1.07801652434773,2.48309682493794
"cell98_1",2.54095072890752,2.63134034391189
"cell99_1",3.75802589717175,-2.76400021141916
"cell100_1",1.72968296983151,-4.03550102709654
"cell101_1",3.36718566341389,-3.9133399427023
"cell102_1",-1.08976295305741,1.93439834573844
"cell103_1",3.82056684718199,1.75329365503549
"cell104_1",-12.2280293303233,-2.50854139028133
"cell105_1",3.58638182302462,1.06801365164135
"cell106_1",-13.1708285565437,-2.78337079270472
"cell107_1",4.62464003994038,-0.644944633194063
"cell108_1",0.279657131580011,3.2185499594055
