"","tSNE_1","tSNE_2"
"cell0_1",-6.32129937542919,-2.15908570672291
"cell1_1",-19.0780552760818,-2.13063858112905
"cell2_1",-18.2116514016469,2.3631265510714
"cell3_1",-17.4463619480715,-0.821644597335822
"cell4_1",-43.300907800196,3.35120995101093
"cell5_1",-3.15845155889173,-5.81295496571837
"cell6_1",10.524316068798,-6.70902832723603
"cell7_1",-14.7718401622657,-38.5125079336643
"cell8_1",-17.5507494127676,-3.68104781230319
"cell9_1",-1.00518435321758,-8.18697095766003
"cell10_1",31.3297117520145,-12.6787447195894
"cell11_1",-17.1533551926909,-9.68961215185565
"cell12_1",-7.5976814131229,-26.684326292586
"cell13_1",-0.287002466515613,-30.4625695429737
"cell14_1",14.9716764095508,6.50063277720807
"cell15_1",-6.14849153616691,19.1082917979296
"cell16_1",-6.70970205373482,-11.2025149556868
"cell17_1",-35.0028889998088,2.27785610204678
"cell18_1",-12.53891991895,7.5510853850924
"cell19_1",-6.30643690923111,26.1534019772835
"cell20_1",-11.3264335976382,-1.07894868138946
"cell21_1",-40.4442250168906,8.21715885445197
"cell22_1",15.8971802722638,27.2673343539866
"cell23_1",-16.8774423586656,3.13414513566024
"cell24_1",0.820614243161731,-4.05857292007945
"cell25_1",-9.7889026209247,14.7631112974048
"cell26_1",-9.67203863699194,19.7819474595745
"cell27_1",-25.9613748898332,19.3088968089014
"cell28_1",16.6186927790962,-14.9373536143429
"cell29_1",-15.1810648552843,-37.056275239631
"cell30_1",0.158663001355598,-7.49617758562344
"cell31_1",-9.90735457569735,-18.2719865509996
"cell32_1",-6.19083190843772,-17.6909221521727
"cell33_1",-26.3994310008397,10.6404895909261
"cell34_1",-17.7471412761796,-5.59799030621197
"cell35_1",-5.05286304188826,8.31203250087307
"cell36_1",39.5158738224799,18.7890856011973
"cell37_1",-0.723026801306281,13.2400503438302
"cell38_1",-4.49416436840982,-2.74202490912135
"cell39_1",-17.4115242432518,36.3817122201975
"cell40_1",-43.9687827280751,-1.47715633910764
"cell41_1",32.7313532888948,21.3640092443165
"cell42_1",-47.3326070474148,-4.08669698954485
"cell43_1",14.0132968871884,26.9478356024301
"cell44_1",-15.2779751114785,-0.424620308899699
"cell45_1",5.80236046067193,40.57143417932
"cell46_1",-3.27100346419947,-5.78612121421515
"cell47_1",-35.4238526649061,-5.88444747251478
"cell48_1",6.20300050069137,12.984863995381
"cell49_1",-6.69057924108911,-26.9752646824998
"cell50_1",-40.6649197258881,-2.83519255982775
"cell51_1",-5.27396269091596,-12.0958512718161
"cell52_1",-9.39016997318477,4.52690865168943
"cell53_1",-4.69954602038827,-0.797328847255898
"cell54_1",3.08141505392107,-8.87212923382915
"cell55_1",-8.57712649812181,-8.14714073476271
"cell56_1",-40.6353722696648,-4.91815648528808
"cell57_1",13.7115799411776,12.9657842985831
"cell58_1",-8.16929834643622,-14.048830131175
"cell59_1",9.13488710233607,-7.8068416257958
"cell60_1",-0.302018903523684,-5.54111142104972
"cell61_1",-35.3843066531716,7.65109383337787
"cell62_1",-6.94241556084559,20.4778135487538
"cell63_1",-3.80833171795746,19.2184771580587
"cell64_1",-5.87562091101845,14.936667196687
"cell65_1",-12.7416638776968,-12.028754060374
"cell66_1",-18.4785051893563,5.33865935370386
"cell67_1",24.412558719932,13.7304887698114
"cell68_1",17.6545570455045,-19.7677073196432
"cell69_1",10.3073871660806,20.87803792917
"cell70_1",-4.87231693679507,22.7442009618569
"cell71_1",-20.3634257455465,-0.206073367757105
"cell72_1",14.8299785089156,7.52720759025935
"cell73_1",-18.9244531863492,27.8107091233342
"cell74_1",3.51087953946191,6.20587655836063
"cell75_1",10.5336971346379,-12.8328601467275
"cell76_1",13.0880819309415,-16.711539997396
"cell77_1",-5.67254077872149,-16.9656279182013
"cell78_1",-13.335755115772,18.6428124571295
"cell79_1",-24.6458009519567,-29.5472222052504
"cell80_1",16.7001504534583,-16.3309032866866
"cell81_1",-18.4537269556289,12.6613026180086
"cell82_1",-13.1456652722628,13.3177502350667
"cell83_1",-47.3758116483556,-4.09861826350419
"cell84_1",-15.0734824192729,-24.5484701993841
"cell85_1",-38.3713516734691,0.74719730328391
"cell86_1",-33.587092427818,6.25675931359932
"cell87_1",13.9910492366041,12.8255391733431
"cell88_1",-18.0485145771904,3.62666359915171
"cell89_1",13.4442251136965,12.4738714382379
"cell90_1",21.5441100346486,27.2306527691214
"cell91_1",18.0187353317552,7.51964890303815
"cell92_1",-18.0030507590721,33.1975169186134
"cell93_1",-41.4776336944429,1.28031280277056
"cell94_1",-37.1157095276801,5.95058416172988
"cell95_1",-11.8873322306511,0.100799248774023
"cell96_1",-23.3107195098715,-8.19129939376621
"cell97_1",4.50693532738663,-21.3200493880958
"cell98_1",-10.2253212365063,-4.30892258351436
"cell99_1",9.72474943403269,37.8290948888512
"cell100_1",15.1752162568899,17.1260003663164
"cell101_1",18.8242428251319,31.6827103156918
"cell102_1",9.74104254321009,-7.7477304430072
"cell103_1",-26.4026922399881,22.4219071853309
"cell104_1",-41.8478879189897,0.853474052245831
"cell105_1",-10.9469591082834,6.54325941529206
"cell106_1",-38.6757643151265,-5.0919442996416
"cell107_1",-12.0207333521093,23.2289051700912
"cell108_1",-7.02192277871187,-19.9939004784387
"cell109_1",-14.6847876480376,10.3594138631184
"cell110_1",-25.9605174629276,-25.6099846978015
"cell111_1",-10.1703697147132,9.63724654090377
"cell112_1",-8.59558341271253,30.965901282641
"cell113_1",-10.7134614313283,-10.3886095794895
"cell114_1",-4.38760596586678,-6.03211918737818
"cell115_1",-34.1592572661617,1.53558403393433
"cell116_1",-8.12449323637735,21.7904627192323
"cell117_1",-16.8158432897527,14.2365227901439
"cell118_1",17.7386803016737,-19.7297998889639
"cell119_1",-9.22912796069332,-6.58753864050098
"cell120_1",-20.6187628731397,7.98293197234917
"cell121_1",-1.26940642858973,11.8198102648709
"cell122_1",-5.98069631270244,-26.3744560721912
"cell123_1",-14.4677347728112,18.6509843673126
"cell124_1",-18.3188695029559,25.2091049536112
"cell125_1",19.939471649552,34.5585772034152
"cell126_1",22.0818265891635,12.5672997217693
"cell127_1",-3.62613145665473,32.2945342594548
"cell128_1",-19.1465928668447,6.77938375914117
"cell129_1",-15.8115736503595,16.6636424207595
"cell130_1",-37.5774652813475,-7.69617475988183
"cell131_1",25.1847816090751,1.00365725514642
"cell132_1",2.59508369862845,35.2592409492937
"cell133_1",-1.07152229978867,-29.6130720836414
"cell134_1",-7.54066068150586,14.4359783319317
"cell135_1",13.4246565033617,7.89069294591566
"cell136_1",-16.2445462314722,11.5926227236397
"cell137_1",-18.8807406380801,6.06862494124147
"cell138_1",-2.45868819330721,16.6581557200138
"cell139_1",-15.1991559989864,-3.5037388219556
"cell140_1",-39.5630212750397,-2.35772689610908
"cell141_1",-6.8440282583712,3.3579735252706
"cell142_1",-10.5195310060577,23.1362125976712
"cell143_1",-4.0735533559295,-16.8280446378979
"cell144_1",-20.6059997623144,23.0786527119671
"cell145_1",12.6335013723804,26.8997948480506
"cell146_1",-11.3750319159539,-14.1644514329044
"cell147_1",-14.4665197940478,-7.57313059784095
"cell148_1",-11.9114087300099,3.63467810101563
"cell149_1",-5.43234592126696,17.9532286232676
"cell150_1",-17.5301663077187,-2.68585450973619
"cell151_1",14.7865998457741,-2.80754851800286
"cell152_1",-4.67484631731649,-26.5902543516432
"cell153_1",-10.4916969042667,-27.6951421474049
"cell154_1",-18.3454882645184,12.4679990665765
"cell155_1",-6.36376411512034,-20.6865923798378
"cell156_1",12.81166640318,8.42253075473679
"cell157_1",-18.3907366474093,-15.6822346706579
"cell158_1",-13.1971740917497,1.56846135316649
"cell159_1",-17.704015034738,14.0395032768363
"cell160_1",1.48854962450979,-34.4238348713983
"cell161_1",-7.97750265480041,-25.9812075041956
"cell162_1",34.9514641662667,26.5909684993694
"cell163_1",1.43290900123466,-1.76261725923725
"cell164_1",0.24414637358052,14.3338584824408
"cell165_1",-11.8347102268965,-33.9766778212452
"cell166_1",11.3914957615063,-18.7941295611711
"cell167_1",-10.0426380319054,11.0577226815133
"cell168_1",-6.44124600423374,16.3844895177934
"cell169_1",-2.34193440278306,-17.8535979750231
"cell170_1",-39.3580278323761,-7.60780631096652
"cell171_1",-11.8286948047675,-33.6945990055201
"cell172_1",11.6712415216387,11.8470660119456
"cell173_1",12.8891971885604,27.3856093102187
